Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,How involved in AI alignment are you? Please select all that apply. (6kkcmyw),Which of the following resources have you used to understand AI alignment research? (nwudv6g),resources,verbal_rating_scale,prob_rating_scale,How involved in AI alignment are you? Please select all that apply. (g4mdi50),involvement,"For how many years have you been interested in AI alignment research? Please enter an integer, rounded to the nearest year. (bu4zyb5)",category,Which of the following resources have you spent more than 30 minutes engaging with? (t0y9zda),"Overall, how useful have you found {resource}? (okdtv5m)",resource,"How likely would you be to recommend {resource} as an AI alignment resource to a friend getting into AI alignment, who hadn't already read widely in the space? (xf22i7s)",How likely would you be to recommend {resource} as an AI alignment resource to a friend who is paid to do AI alignment research? (b51q4lo),"If you'd like to go into detail about your answers about {resource}, you can do so here. (83afusr)","Please specify which researchers you're thinking of. Also, if you'd like to go into detail about your answers about {resource}, you can do so here. (bj70ff1)",Is there anything else you'd like to tell us? (bty6mmy),Where did you hear about this survey? (auqgbpq),"For how many years have you been paid to work on technical AI alignment research? Please enter an integer, rounded to the nearest year. (ub5lnfb)",fbclid
7388237,43,,2022-05-30 09:44:32,,0.93,4t3j1q5,0,,,,,,,,,,,,,,,,,,,,
7388617,43,,2022-05-30 13:15:37,2022-05-30 13:19:41,4.05,t6togir,0,,,"[""Human Compatible (book)"",""The Alignment Problem (book)"",""AGI Safety Fundamentals Course"",""the AI Alignment Newsletter"",""the ARCHES agenda by Andrew Critch and David Krueger"",""the Value Learning sequence on the Alignment Forum"",""the annual AI Alignment Literature Review and Charity Comparison"",""the ML Safety newsletter"",""Concrete Problems in AI Safety by Amodei et al"",""Scalable agent alignment via reward modeling: a research direction by Leike et al (aka \""the recursive reward modelling agenda\"")"",""talks by AI alignment researchers"",""Superintelligence (book)"",""AXRP - the AI X-risk Research Podcast"",""the Iterated Amplification sequence on the Alignment Forum"",""the Embedded Agency sequence on the Alignment Forum"",""the FLI podcast"",""the 80,000 Hours podcast"",""Unsolved Problems in ML Safety by Hendrycks et al""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I have heard of AI alignment,I am interested in AI alignment research,I am trying to move into a technical AI alignment career,I spend some of my time solving technical problems related to AI alignment","[""I have heard of AI alignment"",""I am interested in AI alignment research"",""I am trying to move into a technical AI alignment career"",""I spend some of my time solving technical problems related to AI alignment""]",3,I spend some of my time solving technical problems related to AI alignment,"Human Compatible (book),The Alignment Problem (book),AGI Safety Fundamentals Course,the AI Alignment Newsletter,the ARCHES agenda by Andrew Critch and David Krueger,the Value Learning sequence on the Alignment Forum,the annual AI Alignment Literature Review and Charity Comparison,the ML Safety newsletter,Concrete Problems in AI Safety by Amodei et al,Scalable agent alignment via reward modeling: a research direction by Leike et al (aka ""the recursive reward modelling agenda""),talks by AI alignment researchers,Superintelligence (book),AXRP - the AI X-risk Research Podcast,the Iterated Amplification sequence on the Alignment Forum,the Embedded Agency sequence on the Alignment Forum,the FLI podcast,the 80,000 Hours podcast,Unsolved Problems in ML Safety by Hendrycks et al",2 | 3 | 3 | 3 | 2 | 3 | 2 | 1 | 1 | 3 | 2 | 1 | 3 | 3 | 1 | 1 | 4 | 1,Unsolved Problems in ML Safety by Hendrycks et al,3 | 4 | 3 | 2 | 0 | 2 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 2 | 0 | 2 | 3 | 2,0 | 0 | 3 | 4 | 2 | 2 | 1 | 1 | 0 | 3 | 2 | 0 | 3 | 2 | 1 | 2 | 1 | 1, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | ,"","","",,
7388618,43,,2022-05-30 13:15:40,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7389274,43,,2022-05-30 19:07:06,,19.85,now6hjo,0,,,"[""AI Safety Camp"",""Rob Miles videos"",""conversations with AI alignment researchers at conferences"",""AXRP - the AI X-risk Research Podcast"",""AGI Safety Fundamentals Course"",""the Iterated Amplification sequence on the Alignment Forum"",""the ARCHES agenda by Andrew Critch and David Krueger"",""Superintelligence (book)"",""the Value Learning sequence on the Alignment Forum"",""Concrete Problems in AI Safety by Amodei et al"",""the Embedded Agency sequence on the Alignment Forum""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I spend some of my time doing AI alignment field/community-building,I spend some of my time facilitating technical AI alignment research in ways other than doing it directly","[""I spend some of my time doing AI alignment field/community-building"",""I spend some of my time facilitating technical AI alignment research in ways other than doing it directly""]",,I spend some of my time facilitating technical AI alignment research in ways other than doing it directly,"AI Safety Camp,Rob Miles videos,conversations with AI alignment researchers at conferences,AXRP - the AI X-risk Research Podcast,AGI Safety Fundamentals Course,the Iterated Amplification sequence on the Alignment Forum,the ARCHES agenda by Andrew Critch and David Krueger,Superintelligence (book),the Value Learning sequence on the Alignment Forum,Concrete Problems in AI Safety by Amodei et al,the Embedded Agency sequence on the Alignment Forum",0 | 1 | 4 | 1 | 0 | 2 | 0 | 2 | 1 | 1,Concrete Problems in AI Safety by Amodei et al,1 | 2 | 4 | 1 | 4 | 2 | 0 | 2 | 1 | 1,0 | 1 | 4 | 1 | 1 | 2 | 0 | 2 | 1 | 1," |  |  | I'd want to make sure professional AI alignment researchers were familiar with the content in AI safety fundamentals | On one hand I dunno if Iterated Amplification makes any sense (and not sure Paul even endorses it anymore?), on the other hand hand it seems like people should know about it because it's one of the major conversation threads. | I have a vague belief that there's stuff in Arches that is useful, but also a vague belief that much of it is written up elsewhere more readably. (It may be good for people who like reading academic papers) | Superintelligence was the first book I read. I think I was familiar with most of it. I've read it all the way through whereas I've only engaged with Arches kinda second-hand, so my higher ratings may not actually make sense. | I honestly don't remember much about it, not sure if it faded into background obvious facts that I don't think about anymore. | I think I'd include this mostly from historical importance.","",,,,
7389276,43,,2022-05-30 19:07:25,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7389296,43,,2022-05-30 19:18:20,,0.03,4t3j1q5,0,,,,,,,,,,,,,,,,,,,,
7389302,43,,2022-05-30 19:19:52,,0.00,eb2kjj8,0,,,,,,,,,,,,,,,,,,,,
7389408,43,,2022-05-30 19:58:13,2022-05-30 20:12:14,14.02,t6togir,0,,,"[""Human Compatible (book)"",""the AI Alignment Newsletter"",""Life 3.0 (book)"",""Concrete Problems in AI Safety by Amodei et al"",""The Alignment Problem (book)"",""AXRP - the AI X-risk Research Podcast"",""the annual AI Alignment Literature Review and Charity Comparison"",""Superintelligence (book)"",""the ARCHES agenda by Andrew Critch and David Krueger"",""talks by AI alignment researchers"",""AI Safety Camp"",""the Embedded Agency sequence on the Alignment Forum"",""the 80,000 Hours podcast"",""Rob Miles videos"",""conversations with AI alignment researchers at conferences"",""Scalable agent alignment via reward modeling: a research direction by Leike et al (aka \""the recursive reward modelling agenda\"")"",""the FLI podcast"",""AGI Safety Fundamentals Course"",""Unsolved Problems in ML Safety by Hendrycks et al""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I have heard of AI alignment,I am interested in AI alignment research,I am trying to move into a technical AI alignment career,I spend some of my time solving technical problems related to AI alignment,I spend some of my time publicly communicating about AI alignment,I am paid to work on technical AI alignment research","[""I have heard of AI alignment"",""I am interested in AI alignment research"",""I am trying to move into a technical AI alignment career"",""I spend some of my time solving technical problems related to AI alignment"",""I spend some of my time publicly communicating about AI alignment"",""I am paid to work on technical AI alignment research""]",1,I am paid to work on technical AI alignment research,"Human Compatible (book),the AI Alignment Newsletter,Life 3.0 (book),Concrete Problems in AI Safety by Amodei et al,The Alignment Problem (book),AXRP - the AI X-risk Research Podcast,the annual AI Alignment Literature Review and Charity Comparison,Superintelligence (book),the ARCHES agenda by Andrew Critch and David Krueger,talks by AI alignment researchers,AI Safety Camp,the Embedded Agency sequence on the Alignment Forum,the 80,000 Hours podcast,Rob Miles videos,conversations with AI alignment researchers at conferences,Scalable agent alignment via reward modeling: a research direction by Leike et al (aka ""the recursive reward modelling agenda""),the FLI podcast,AGI Safety Fundamentals Course,Unsolved Problems in ML Safety by Hendrycks et al",2 | 3 | 1 | 2 | 1 | 2 | 1 | 1 | 3 | 3 | 4 | 1 | 4 | 3 | 3 | 1 | 2 | 4 | 1,Unsolved Problems in ML Safety by Hendrycks et al,3 | 2 | 1 | 1 | 3 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 4 | 4 | 2 | 2 | 2 | 4 | 2,1 | 3 | 1 | 3 | 1 | 3 | 1 | 2 | 3 | 4 | 1 | 2 | 3 | 3 | 4 | 2 | 2 | 2 | 2,"Good intro resource, but not super helpful for experienced people | Very good way to keep up with the field, also quite good to hear about whats happening in the field if you're new | I like the concrete intro story, but I'm not sure how helpful the rest is | This is a pretty important paper, both for seeing what kind of safety work was being done around 2017, and the model of writing a paper of problems for people to solve. I think given the focus on RL and simple gridworlds the actual content isn't super useful today | I think this isa very good intro to AI safety, although it's not very x-risk-y | I like that this is a technical podcast and actually explains technical research agendas | Decent for seeing what has been happening over the psat year | I read this book in 2016 and then proceeded to not care about alignment for about 3 years. But I think it probably is pretty important thing to read (or at least know the ideas in) if you want to do alignment work | I read this as my first big intro to AI safety and thought it was very good for giving an overview of research in the field | I found this very good for getting into the field. But I think that people who haven't read widely probably won't get in, and people who are doing paid alignment reasearch are too advanced. I think AI safety camp is well suited to people between these levels |  | Very good, I think the AI safety episodes are very helpful for finding out how people got into the field | Probably the best AI safety communication/media out there |  |  | Very good course. Good for networking and also for forcing me to talk and think about things I had already read | Good to have a follow up to ""Concrete Problems"" but I would have liked more specific research directions","Very good, I think people talking about their work is a good way to find out what people believe | Obviously talking with people is super helpful. Not sure how usefull/efficient if you're not up to speed with the field.","",Lightcone Slack,1,
7389789,43,,2022-05-30 22:53:10,,0.20,t0y9zda,0,,,,,,"I spend some of my time publicly communicating about AI alignment,I am paid to work on technical AI alignment research","[""I spend some of my time publicly communicating about AI alignment"",""I am paid to work on technical AI alignment research""]",,I am paid to work on technical AI alignment research,,,,,,,,,,4,
7390267,43,,2022-05-31 03:58:52,2022-05-31 04:09:21,10.48,t6togir,0,,,"[""talks by AI alignment researchers"",""Human Compatible (book)"",""Concrete Problems in AI Safety by Amodei et al"",""Unsolved Problems in ML Safety by Hendrycks et al"",""AGI Safety Fundamentals Course"",""the Iterated Amplification sequence on the Alignment Forum"",""AI Safety Camp"",""Superintelligence (book)"",""The Alignment Problem (book)"",""the 80,000 Hours podcast"",""conversations with AI alignment researchers at conferences""]","[[""Not at all"",0],[""A little"",1],[""Moderately"",2],[""Very"",3],[""Extremely"",4]]","[[""0-20%"",0],[""20-40%"",1],[""40-60%"",2],[""60-80%"",3],[""80-100%"",4]]","I spend some of my time solving technical problems related to AI alignment,I spend some of my time doing AI alignment field/community-building,I am paid to work on technical AI alignment research","[""I spend some of my time solving technical problems related to AI alignment"",""I spend some of my time doing AI alignment field/community-building"",""I am paid to work on technical AI alignment research""]",,I am paid to work on technical AI alignment research,"talks by AI alignment researchers,Human Compatible (book),Concrete Problems in AI Safety by Amodei et al,Unsolved Problems in ML Safety by Hendrycks et al,AGI Safety Fundamentals Course,the Iterated Amplification sequence on the Alignment Forum,AI Safety Camp,Superintelligence (book),The Alignment Problem (book),the 80,000 Hours podcast,conversations with AI alignment researchers at conferences",1 | 4 | 2 | 1 | 4 | 1 | 3 | 3 | 2 | 2 | 4,conversations with AI alignment researchers at conferences,2 | 4 | 1 | 1 | 4 | 0 | 2 | 1 | 4 | 2 | 3,2 | 3 | 2 | 2 | 2 | 2 | 3 | 2 | 4 | 1 | 4," | Don’t remember specifics | Don’t remember specifics |  |  | Applied to AI Safety Camp, so I’m talking about the usefulness of diving into one of the researchers’ agendas to write a proposal. | Concerned that the transhumanist vibe and dire predictions are off-putting. The ideas are certainly more out-there than those in Human Compatible by Russell. Personally, I’m not a big fan of transhumanism, so I’m uncomfortable that such a controversial concept is conflated with AI safety, which I think should not be controversial | Haven’t finished reading it myself | ", | ,"",Habiba’s post on 80k alumni Slack,0,
